"PUBID","YSCH-37000","YHEA-1900","YEXP-1500","YEXP-2000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","PC8-092","PC9-050","PC11-008","PC11-014","CV_HH_POV_RATIO","CV_YTH_REL_HH_AGE_12","CV_YTH_REL_HH_AGE_2","CV_YTH_REL_HH_AGE_6","CV_HH_UNDER_18","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","KEY!RACE_ETHNICITY","TRANS_GPA","CVC_YTH_REL_HH_AGE2_YCHR","CVC_YTH_REL_HH_AGE6_YCHR","CVC_YTH_REL_HH_AGE12_YCHR","CVC_SAT_MATH_SCORE_2007","CVC_SAT_VERBAL_SCORE_2007","CVC_ACT_SCORE_2007","CVC_HIGHEST_DEGREE_EVER"
1,1,-4,100,100,2,9,1981,0,1,100,90,-3,1,1,1,1,1,16,8,4,85,-4,-4,-4,4,3,-4,4
2,2,-4,-4,-4,1,7,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,17,15,2,-3,1,1,2,4,4,-4,2
3,3,-4,-4,-4,2,9,1983,1,1,-4,-4,583,4,2,4,1,1,-3,12,2,-4,-4,-4,-4,2,2,-4,4
4,3,-4,100,100,2,2,1981,1,3,100,85,108,4,4,4,1,1,12,12,2,74,1,1,4,-4,-4,-4,2
5,2,-4,-4,-4,1,10,1982,0,1,-4,-4,-3,1,1,1,2,1,12,12,2,75,-4,-4,-4,2,6,-4,2
6,2,-4,-4,-4,2,1,1982,0,3,-4,-4,-3,4,4,4,3,1,-3,12,2,55,-4,-4,-4,2,2,-4,2
7,2,-4,-4,-4,1,4,1983,0,3,-4,-4,-3,4,4,4,3,1,-3,12,2,-4,-4,-4,-4,-3,-3,-4,1
8,1,-4,100,100,2,6,1981,0,1,100,100,-3,1,1,1,3,1,6,12,4,81,-4,-4,-4,5,5,-4,5
9,1,-4,-4,-4,1,10,1982,0,1,-4,-4,-3,1,1,1,3,1,6,12,4,85,-4,-4,-4,4,2,-4,5
10,1,-4,-4,-4,1,3,1984,0,1,-4,-4,-3,1,1,1,3,1,6,12,4,90,1,1,1,-4,-4,-3,4
11,2,-4,-4,-4,2,6,1982,0,1,-4,-4,198,4,4,4,2,1,12,14,2,80,-4,-4,-4,-4,-4,4,4
12,2,-4,95,95,1,10,1981,0,1,100,50,0,4,2,2,2,1,-3,12,2,63,-4,-4,-4,-4,-4,-4,1
13,2,-4,-4,-4,1,11,1984,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-3,6,2,59,-3,-3,-3,-4,-4,-4,1
14,2,-4,100,70,1,7,1980,0,1,100,50,0,1,1,1,1,1,12,12,2,-4,-4,-4,-4,-4,-4,6,1
15,2,-4,-4,-4,2,1,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,13,12,2,3,1,1,1,-3,-3,-3,2
16,3,-4,-4,-4,1,2,1982,0,1,-4,-4,120,4,2,4,1,1,10,11,2,60,-4,-4,-4,3,3,-4,3
17,2,-4,95,90,2,11,1981,0,3,100,50,14,4,4,4,4,1,-3,14,2,-3,-4,-4,-4,-4,-4,-4,1
18,3,-4,-4,-4,1,2,1982,0,3,-4,-4,0,4,4,4,5,1,10,15,1,-4,-4,-4,-4,-4,-4,-4,1
19,4,-4,-4,-4,1,4,1984,0,0,-4,-4,0,4,4,4,5,1,10,15,1,19,-4,-4,-4,3,5,-4,-3
20,2,-4,100,100,1,12,1980,0,3,100,100,-3,4,4,4,2,1,10,11,1,-4,-4,-4,-4,-4,-4,-4,1
21,2,-4,-4,-4,1,8,1982,0,1,-4,-4,0,4,2,2,2,1,11,13,2,56,-4,-4,-4,-4,-4,-4,1
22,2,-4,-4,-4,1,6,1982,0,3,-4,-4,-3,4,2,2,1,1,12,11,2,-4,1,1,4,-3,-3,-4,2
23,3,-4,-4,-4,2,1,1983,0,3,-4,-4,-3,4,4,4,2,1,10,10,2,76,-4,-4,-4,2,2,-4,4
24,2,-4,-4,-4,1,6,1984,0,3,-4,-4,-3,4,4,4,4,1,5,7,2,-4,2,2,2,-4,-4,-4,0
25,2,-4,-4,-4,2,3,1983,0,1,-4,-4,0,1,1,1,3,1,12,12,2,41,-4,-4,-4,-4,-4,-4,1
26,2,-4,100,100,1,10,1980,0,1,100,75,-3,2,2,2,2,1,-3,12,1,2,-4,-4,-4,-3,-3,-4,0
27,2,-4,100,80,1,5,1981,0,3,75,20,-3,4,2,2,4,1,8,10,1,-4,-4,-4,-4,-4,-4,-4,0
28,2,-4,-4,-4,2,11,1983,0,1,-4,-4,82,2,4,4,2,1,12,12,1,74,-4,-4,-4,-4,-4,-4,4
29,2,-4,-4,-4,2,1,1983,0,1,-4,-4,-3,1,1,1,2,1,-3,-3,4,-4,-4,-4,-4,-4,-4,-4,0
30,1,-4,-3,-3,1,6,1981,0,1,-4,-4,-3,1,1,1,1,1,-3,-3,4,-4,-4,-4,-4,-4,-4,-4,0
31,2,-4,-4,-4,1,7,1982,-4,-4,-4,-4,-4,-4,-4,-4,1,1,12,12,4,91,1,1,1,4,4,-4,4
32,1,-4,100,95,2,7,1981,-4,-4,-4,-4,-4,-4,-4,-4,1,1,16,16,4,-3,1,1,1,4,3,-4,4
33,1,-4,100,75,2,12,1980,0,1,100,50,-3,1,1,1,1,1,16,14,4,96,-4,-4,-4,5,5,-4,4
34,3,-4,-4,-4,2,12,1984,0,1,-4,-4,60,1,1,1,1,1,9,16,4,-4,-4,-4,-4,2,2,-4,4
35,4,-3,-4,-4,1,1,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-3,-3,4,81,1,1,1,4,4,-4,4
36,3,-4,100,75,2,8,1980,0,1,100,50,255,1,1,1,2,1,16,15,4,72,-4,-4,-4,-4,-4,-4,3
37,2,-4,5,90,2,11,1980,0,1,-2,-2,299,5,5,5,2,1,11,-3,4,78,-4,-4,-4,6,4,-4,4
38,1,-4,100,90,2,9,1981,0,1,-2,-2,299,5,5,5,2,1,11,-3,4,72,-4,-4,-4,-4,-4,-4,4
39,2,-4,95,85,1,2,1980,0,0,90,90,-3,1,1,1,2,1,-3,-3,2,-4,-4,-4,-4,3,3,-4,4
40,4,-4,-4,-4,2,5,1984,-4,-4,-4,-4,-4,-4,-4,-4,1,1,12,12,4,-4,1,1,1,1,2,-4,2
41,1,-4,-4,-4,2,1,1983,-4,-4,-4,-4,-4,-4,-4,-4,3,1,12,12,4,83,1,1,1,5,6,-4,4
42,1,-4,-4,-4,1,8,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-3,-3,4,-4,1,1,1,4,3,-4,4
43,1,-4,80,-2,2,10,1981,0,3,80,-2,-3,4,4,4,1,1,-4,-3,1,67,-4,-4,-4,-4,-4,-4,1
44,1,-4,100,100,1,12,1981,0,0,50,75,0,1,1,1,2,1,-3,-3,2,-4,-4,-4,-4,-4,-4,-4,2
45,1,-4,-4,-4,2,2,1984,0,3,-4,-4,-3,4,4,4,6,1,-4,8,1,63,-4,-4,-4,-4,-4,-4,3
46,3,-4,-4,-4,1,2,1984,0,3,-4,-4,-3,4,4,4,6,1,-4,8,1,-4,-4,-4,-4,1,-3,-4,1
47,2,-4,-4,-4,2,9,1982,0,3,-4,-4,44,8,8,8,2,1,-4,11,1,-4,4,8,8,4,4,6,2
48,3,-4,-4,-4,2,7,1983,0,3,-4,-4,44,8,8,8,2,1,-4,11,1,-4,8,8,8,3,3,-3,4
49,1,-4,-4,-4,2,12,1982,0,3,-4,-4,-3,4,2,2,1,1,-3,12,1,72,-4,-4,-4,-4,-4,-4,2
50,3,-4,-4,-4,2,2,1983,0,1,-4,-4,-3,4,4,4,2,1,-4,12,1,-4,-4,-4,-4,-4,-4,-4,1
51,2,-4,100,75,1,6,1980,0,3,100,-2,20,4,4,4,4,1,-4,12,1,-3,-4,-4,-4,-4,-4,-3,2
52,2,-4,-4,-4,1,12,1983,0,3,-4,-4,20,4,4,4,4,1,-4,12,1,63,-4,-4,-4,-4,-4,-4,2
53,1,-4,-4,-4,2,4,1984,0,3,-4,-4,-3,4,4,4,2,1,12,12,1,74,-4,-4,-4,-4,-4,-4,2
54,1,-4,-4,-4,2,12,1984,0,3,-4,-4,-3,8,4,4,3,1,-4,14,1,-4,4,4,8,-3,-3,-4,3
55,1,-4,100,100,2,2,1981,0,1,100,100,-3,1,1,1,3,1,12,10,2,-4,-4,-4,-4,4,2,-4,4
56,1,-4,-4,-4,2,2,1982,0,1,-4,-4,696,1,1,1,2,1,16,18,4,87,-4,-4,-4,5,5,-4,5
57,1,-4,-4,-4,1,12,1982,0,3,-4,-4,0,4,4,4,3,1,12,12,1,-3,-4,-4,-4,-4,-4,-4,2
58,1,-4,-4,-4,1,11,1983,1,1,-4,-4,160,4,4,4,2,1,12,12,1,-4,-4,-4,-4,-4,-4,-4,3
59,2,-4,100,100,2,4,1981,-2,3,100,100,181,8,-1,8,1,1,-4,16,1,81,8,8,8,3,4,5,3
60,1,-4,-4,-4,1,1,1984,0,1,-4,-4,302,4,8,8,3,1,-4,14,4,86,-4,-4,-4,3,3,-4,5
61,2,-4,-4,-4,2,5,1983,0,1,-4,-4,-3,4,2,2,2,1,12,12,1,69,-4,-4,-4,-4,-4,4,3
62,1,-4,100,95,1,3,1980,0,1,100,100,943,1,1,1,2,1,14,14,1,2,-4,-4,-4,4,5,-4,4
63,2,-4,-4,-4,2,10,1984,1,1,-4,-4,943,1,1,1,2,1,14,14,1,2,-4,-4,-4,5,5,3,4
64,2,-4,100,50,1,3,1980,-4,-4,-4,-4,317,-4,-4,-4,1,1,12,15,1,63,1,1,1,3,3,-4,2
65,3,-4,-4,-4,1,4,1984,0,1,-4,-4,-3,1,1,1,3,1,-3,95,1,2,-4,-4,-4,-4,-4,-4,4
66,1,-4,100,100,1,10,1980,0,1,100,100,-3,8,4,8,3,1,12,-3,1,91,5,5,5,3,2,-4,7
67,2,-4,100,100,1,11,1980,0,1,100,100,-3,4,4,4,3,1,12,18,1,73,-4,-4,-4,3,2,-4,6
68,3,-4,100,100,1,1,1981,0,1,100,100,-3,8,8,8,3,1,12,-4,1,62,1,1,1,2,2,-4,2
69,2,-4,100,100,2,7,1981,0,1,100,100,-3,1,1,1,2,1,12,16,1,76,1,1,1,4,4,-4,4
70,3,-4,-4,-4,1,8,1982,0,1,-4,-4,-3,1,1,1,2,1,12,16,1,71,-4,-4,-4,3,4,-4,4
71,1,-4,100,100,1,1,1980,0,1,100,100,241,8,1,8,1,1,14,14,1,79,1,5,5,2,2,-4,2
72,2,-4,-4,-4,2,4,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,11,1,-4,1,1,1,6,3,-4,3
73,2,-4,-4,-4,1,10,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,11,1,73,1,1,1,-4,-4,-4,2
74,1,-4,-4,-4,1,7,1983,0,1,-4,-4,-3,1,1,1,2,1,-3,-3,4,-4,-4,-4,-4,5,5,-4,7
75,2,-4,-4,-4,1,1,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,8,-3,4,70,5,5,5,-4,-4,-4,2
76,1,-4,-4,-4,1,1,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,8,-3,4,71,5,5,5,-4,-4,-4,2
77,1,-4,-4,-4,2,11,1984,0,3,-4,-4,223,4,4,4,2,1,12,12,2,-4,-4,-4,-4,4,4,-4,2
78,1,-4,90,-2,2,7,1981,0,3,-2,-2,-3,4,4,4,1,1,-4,-3,4,-3,-4,-4,-4,-4,-4,-4,3
79,1,-4,-4,-4,1,12,1983,0,0,-4,-4,-3,10,5,10,1,1,14,11,2,-3,-4,-4,-4,-4,-4,-4,1
80,1,-4,100,100,1,6,1981,1,3,100,40,188,4,4,4,3,1,14,12,1,-4,-4,-4,-4,-3,-3,-4,1
81,3,-4,-4,-4,2,1,1984,0,1,-4,-4,29,4,4,4,1,1,12,12,1,-4,-4,-4,-4,-4,-4,-4,0
82,1,-4,-4,-4,1,7,1984,0,3,-4,-4,-3,4,4,4,4,1,-4,-3,2,72,-4,-4,-4,-4,-4,-4,4
83,2,-4,-2,-2,1,9,1981,0,3,-2,-2,-3,4,2,4,3,1,12,6,2,-4,1,4,4,4,3,-4,1
84,2,-4,-4,-4,2,2,1984,0,3,-4,-4,-3,4,4,4,3,1,12,6,2,83,-4,-4,-4,2,3,-4,4
85,2,-4,-4,-4,1,2,1984,0,3,-4,-4,75,2,4,4,3,1,12,12,4,-4,-4,-4,-4,-4,-4,-4,2
86,4,-4,100,0,2,10,1980,0,1,100,0,-3,1,1,1,1,1,12,12,4,65,-4,-4,-4,3,3,-4,5
87,1,-4,-4,-4,1,5,1984,0,2,-4,-4,267,1,1,1,2,1,14,12,2,-4,-4,-4,-4,6,4,-4,2
88,2,-4,-3,-3,1,1,1981,-4,-4,-4,-4,-4,-4,-4,-4,3,1,12,12,4,-4,1,1,1,4,4,-4,2
89,2,-4,100,100,1,11,1981,-4,-4,-4,-4,-4,-4,-4,-4,6,1,6,6,4,92,1,1,1,4,4,-4,5
90,2,-4,100,-2,1,11,1981,0,2,100,100,-3,1,1,1,2,1,12,16,2,68,-4,-4,-4,-3,-3,-4,4
91,1,-4,-4,-4,2,9,1982,0,2,-4,-4,-3,1,1,1,2,1,12,16,2,-4,-4,-4,-4,3,3,-4,4
92,3,-4,-4,-4,1,4,1983,0,1,-4,-4,236,1,1,1,2,1,12,10,4,-4,-4,-4,-4,1,-3,-4,2
93,2,-4,-4,-4,1,9,1983,0,1,-4,-4,182,4,4,4,2,1,12,8,2,74,-4,-4,-4,-3,-3,-4,2
94,2,-4,100,50,2,9,1980,1,1,100,75,162,4,4,4,1,1,12,10,1,72,-4,-4,-4,-4,-4,-4,3
95,1,-4,-4,-4,1,7,1982,0,0,-4,-4,211,4,4,4,1,1,8,8,2,-4,-4,-4,-4,-4,-4,-4,0
96,1,-4,-4,-4,1,7,1982,0,1,-4,-4,475,1,1,1,2,1,14,12,4,-4,-4,-4,-4,-4,-4,-4,4
97,2,-4,100,100,1,6,1980,0,1,100,75,250,1,1,1,1,1,12,12,2,77,-4,-4,-4,3,4,-4,4
98,2,-4,-3,-3,1,1,1980,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-3,-3,4,-4,1,1,1,3,3,-4,4
99,1,-4,-4,-4,1,6,1982,0,1,-4,-4,-3,8,8,8,4,1,-4,8,2,59,-4,-4,-4,-4,-4,-4,1
100,2,-4,100,15,2,1,1981,1,1,100,80,240,4,4,4,1,1,-3,10,1,-3,-4,-4,-4,-4,-4,-4,1
101,1,-4,85,-2,2,7,1981,0,3,100,-2,-3,4,4,4,5,1,-4,6,1,68,-4,-4,-4,-4,-4,-4,-3
102,2,-4,-4,-4,2,4,1982,0,1,-4,-4,427,1,1,1,3,1,12,12,2,75,-4,-4,-4,2,2,-4,4
103,2,-4,-4,-4,2,11,1983,0,1,-4,-4,427,1,1,1,3,1,12,12,2,74,-4,-4,-4,3,3,6,2
104,2,-4,100,100,2,11,1980,0,1,100,80,361,1,1,1,4,1,16,13,4,80,-4,-4,-4,3,3,-4,4
105,1,-4,-4,-4,1,8,1983,1,1,-4,-4,361,1,1,1,4,1,16,13,4,79,-4,-4,-4,3,2,-4,2
106,2,-4,80,80,1,11,1981,0,1,100,50,580,1,1,1,2,1,12,16,4,75,-4,-4,-4,3,3,-4,3
107,1,-4,-4,-4,2,8,1982,1,1,-4,-4,644,1,1,1,4,1,19,16,4,93,-4,-4,-4,4,5,5,5
108,1,-4,-4,-4,1,9,1984,1,1,-4,-4,644,1,1,1,4,1,19,16,4,92,-4,-4,-4,4,5,-4,4
109,2,-4,-4,-4,2,3,1982,0,1,-4,-4,365,1,1,1,4,1,12,12,4,88,-4,-4,-4,4,4,4,4
110,1,-4,-4,-4,2,2,1984,0,1,-4,-4,365,1,1,1,4,1,12,12,4,80,-4,-4,-4,4,4,4,5
111,1,-4,100,100,2,1,1981,0,1,100,100,322,6,6,6,1,1,-4,-4,4,89,6,6,6,5,4,5,4
112,2,-4,-4,-4,2,4,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,12,4,82,1,1,1,3,3,3,5
113,1,-4,-4,-4,1,4,1984,0,1,-4,-4,361,4,2,2,4,1,12,15,4,-4,-4,-4,-4,4,4,-4,2
114,2,-4,-4,-4,2,7,1982,1,1,-4,-4,607,1,1,1,1,1,13,12,4,76,-4,-4,-4,3,3,-4,4
115,1,-4,-4,-4,2,10,1984,0,1,-4,-4,-3,1,1,1,1,1,12,12,2,-4,-4,-4,-4,-4,-4,-4,1
116,2,-4,-4,-4,1,10,1984,1,3,-4,-4,199,4,4,4,3,1,12,12,1,2,-4,-4,-4,3,2,-4,2
117,1,-4,-4,-4,1,10,1984,1,1,-4,-4,199,4,4,4,3,1,12,12,1,2,-4,-4,-4,3,2,-4,2
118,1,-4,100,80,1,6,1980,0,1,100,100,599,1,1,1,1,1,16,12,4,2,-4,-4,-4,2,2,-4,4
119,1,-4,-4,-4,1,9,1982,1,1,-4,-4,1627,1,1,1,2,1,12,15,4,-4,-4,-4,-4,5,6,-4,4
120,2,-4,-4,-4,1,6,1982,-4,-4,-4,-4,-4,-4,-4,-4,1,1,17,16,4,-4,-4,-4,-4,-4,-4,-4,6
121,1,-4,100,76,1,12,1981,0,1,100,85,490,1,1,1,2,1,14,14,4,76,-4,-4,-4,4,4,-4,2
122,1,-4,-4,-4,1,6,1984,0,1,-4,-4,490,1,1,1,2,1,14,14,4,2,-4,-4,-4,4,4,-4,2
123,1,-4,100,90,1,2,1980,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,15,4,-3,-4,-4,-4,-4,-4,-4,0
124,1,-4,-4,-4,1,2,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,15,4,-4,-4,-4,-4,-4,-4,-4,0
125,1,-4,-4,-4,2,5,1984,0,1,-4,-4,-3,8,8,8,3,1,18,16,4,-4,-4,-4,-4,-4,-4,-3,4
126,2,-4,100,50,1,5,1981,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-4,12,4,-3,1,1,1,-4,-4,-4,2
127,2,-4,-4,-4,2,3,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,16,16,4,3,1,1,1,5,4,-4,5
128,2,-4,-4,-4,2,8,1982,0,1,-4,-4,736,4,2,2,2,1,18,16,4,3,-4,-4,-4,4,4,-4,4
129,2,-4,100,100,2,8,1980,-4,-4,-4,-4,-4,-4,-4,-4,2,1,17,-4,4,4,1,1,5,6,4,-4,4
130,2,-4,100,100,2,7,1981,-4,-4,-4,-4,-4,-4,-4,-4,2,1,17,-4,4,-4,-4,-4,-4,5,2,-4,4
131,1,-4,100,100,1,10,1980,0,1,100,100,318,1,1,1,1,1,16,16,4,96,-4,-4,-4,4,4,-4,2
132,1,-4,-4,-4,1,2,1983,0,1,-4,-4,264,1,1,1,2,1,16,16,4,4,-4,-4,-4,5,5,-4,4
133,1,-4,-4,-4,1,7,1982,0,1,-4,-4,322,1,1,1,2,1,16,16,4,4,-4,-4,-4,6,4,-4,4
134,2,-4,-4,-4,1,4,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,1,16,14,4,3,1,1,1,4,4,-4,2
135,2,-4,100,90,1,4,1981,0,1,100,100,666,4,2,2,1,1,15,18,4,4,-4,-4,-4,5,4,-4,5
136,2,-4,-4,-4,2,9,1983,1,1,-4,-4,-3,1,1,1,3,1,14,18,4,4,1,1,1,5,5,-4,5
137,4,-4,100,100,2,5,1980,0,3,100,100,31,4,4,4,1,1,-4,12,4,-3,-4,-4,-4,-4,-4,-4,1
138,1,-4,-4,-4,1,4,1984,0,1,-4,-4,-3,1,1,1,3,1,18,16,4,2,-4,-4,-4,4,4,-4,3
139,1,-4,-4,-4,2,7,1984,0,1,-4,-4,1627,1,1,1,2,1,16,18,4,4,-4,-4,-4,6,6,-4,2
140,1,-4,-4,-4,1,12,1983,0,1,-4,-4,260,4,2,4,3,1,14,12,2,-4,-4,-4,-4,-4,-4,-4,2
141,2,-4,100,100,2,1,1980,0,1,100,100,-3,1,1,1,1,1,9,12,4,-4,-4,-4,-4,-4,-4,-4,2
142,2,-4,100,100,2,1,1981,0,0,100,100,207,4,4,4,3,1,14,10,4,2,-4,-4,-4,-4,-4,-4,2
143,1,-4,99,85,1,8,1981,1,1,100,100,641,1,1,1,2,1,14,12,1,79,-4,-4,-4,3,4,-4,2
144,4,-4,-4,-4,1,8,1982,1,1,-4,-4,371,4,2,4,3,1,12,16,1,2,-4,-4,-4,-3,-3,-4,2
145,2,-4,-4,-4,1,4,1984,1,1,-4,-4,371,4,2,4,3,1,12,16,1,2,4,4,2,2,3,-4,4
146,2,-4,-4,-4,1,7,1984,0,1,-4,-4,295,4,4,4,2,1,12,12,1,-4,-4,-4,-4,-4,-4,-4,2
147,1,-4,-4,-4,2,2,1984,1,1,-4,-4,277,1,1,1,1,1,13,12,4,-3,-4,-4,-4,-3,-3,-4,2
148,3,-4,-4,-4,2,10,1982,0,0,-4,-4,-3,4,4,4,2,1,12,6,1,2,4,4,4,-4,-4,-4,1
149,2,-4,-4,-4,2,4,1983,1,3,-4,-4,-3,8,4,8,3,1,11,11,1,2,-4,-4,-4,3,3,-4,2
150,1,-4,-4,-4,1,2,1984,1,3,-4,-4,-3,4,4,4,3,1,-3,11,1,-3,-4,-4,-4,-4,-4,-4,3
151,3,-4,-4,-4,2,1,1982,1,3,-4,-4,-3,4,4,4,3,1,11,11,1,73,4,4,4,2,2,-4,2
152,1,-4,-4,-4,1,5,1982,-4,-4,-4,-4,-4,-4,-4,-4,3,1,14,12,1,65,1,1,1,-4,-4,-4,2
153,2,-4,100,100,2,2,1980,1,1,-4,-4,-3,4,4,4,3,1,13,10,1,3,-4,-4,-4,-4,-4,-4,2
154,2,-4,100,100,1,6,1980,0,1,100,100,868,1,1,1,1,1,20,19,4,3,-4,-4,-4,5,5,-4,2
155,2,-4,100,100,1,2,1980,0,1,100,100,-3,1,1,1,2,1,18,14,4,4,-4,-4,-4,6,5,-4,4
156,2,-4,-4,-4,1,11,1982,0,1,-4,-4,-3,1,1,1,2,1,18,14,4,4,-4,-4,-4,6,5,-4,7
157,1,-4,-4,-4,2,3,1982,1,1,-4,-4,438,1,1,1,1,1,12,12,2,4,-4,-4,-4,3,3,-4,4
158,1,-4,-4,-4,1,12,1984,1,1,-4,-4,251,1,1,1,3,1,-3,16,2,93,-4,-4,-4,4,4,-4,4
159,4,-4,0,10,2,1,1980,0,0,100,75,0,1,1,1,3,1,10,12,2,77,-4,-4,-4,-4,-4,-3,2
160,1,-4,100,50,2,1,1981,0,3,100,-2,32,4,4,4,4,1,10,9,2,-3,-4,-4,-4,-3,-3,-4,1
161,3,-4,-4,-4,1,1,1982,0,3,-4,-4,32,4,4,4,4,1,10,9,2,1,1,1,8,-4,-4,-3,0
162,2,-4,100,100,2,8,1981,0,1,90,50,217,4,4,4,4,1,-4,-3,1,-3,4,8,4,4,4,-4,4
163,1,-4,-4,-4,1,2,1983,0,1,-4,-4,217,4,4,4,4,1,-4,-3,1,-4,1,4,4,-4,-4,-4,2
164,2,-4,100,75,2,7,1981,0,1,100,60,255,1,1,1,2,1,12,12,4,-3,-4,-4,-4,-4,-4,-4,2
165,2,-4,100,100,1,4,1980,-4,-4,-4,-4,-4,-4,-4,-4,3,1,12,13,4,-3,1,1,1,4,4,-4,4
166,2,-4,-4,-4,2,9,1982,-4,-4,-4,-4,-4,-4,-4,-4,3,1,12,13,4,-3,1,1,1,5,4,-4,4
167,2,-4,-4,-4,1,11,1984,0,1,-4,-4,529,4,4,4,1,1,12,8,2,-4,-4,-4,-4,-4,-4,-4,2
168,2,-4,100,50,1,1,1981,0,1,100,50,-3,1,1,1,1,1,12,13,2,-3,1,1,1,-4,-4,-4,2
169,1,-4,-4,-4,2,1,1983,0,2,-4,-4,160,1,1,1,3,1,20,12,4,-3,-4,-4,-4,-4,-4,-3,1
170,1,-4,-4,-4,2,8,1984,0,2,-4,-4,160,1,1,1,3,1,20,12,4,-3,-4,-4,-4,-3,-3,-3,4
171,2,-4,-4,-4,2,7,1984,1,1,-4,-4,339,1,1,1,2,1,11,12,2,-3,-4,-4,-4,4,4,-4,2
172,1,-4,-4,-4,1,7,1983,1,1,-4,-4,948,1,1,1,1,1,18,16,4,-4,-4,-4,-4,-4,-4,-4,4
173,2,-4,100,100,2,6,1980,0,1,100,100,544,1,1,1,2,1,18,16,4,4,-4,-4,-4,3,5,-4,2
174,2,-4,-4,-4,1,4,1983,0,1,-4,-4,544,1,1,1,2,1,18,16,4,3,-4,-4,-4,-3,-3,-4,4
175,2,-4,100,100,2,10,1981,0,1,100,100,-3,1,1,1,1,1,18,16,4,3,1,1,1,5,4,-4,5
176,2,-4,-4,-4,1,9,1982,0,1,-4,-4,-3,1,1,1,3,1,18,13,4,4,-4,-4,-4,5,5,5,4
177,2,-4,100,100,2,11,1980,0,2,100,100,319,1,1,1,1,1,12,16,4,3,-4,-4,-4,3,3,-4,5
178,1,-4,100,100,2,3,1980,0,1,100,100,-3,1,1,1,3,1,18,12,4,-4,-4,-4,-4,4,4,-4,5
179,2,-4,100,100,2,9,1981,0,1,100,100,-3,1,1,1,3,1,18,12,4,4,-4,-4,-4,5,5,-4,0
180,1,-4,-4,-4,1,9,1983,0,1,-4,-4,-3,1,1,1,3,1,18,12,4,-4,-4,-4,-4,6,5,-4,4
181,1,-4,-4,-4,2,11,1982,1,1,-4,-4,702,1,1,1,2,1,20,18,4,4,-4,-4,-4,6,5,-4,6
182,2,-4,-4,-4,2,5,1984,1,1,-4,-4,702,1,1,1,2,1,20,18,4,4,-4,-4,-4,6,4,5,4
183,2,-4,100,95,2,12,1980,0,1,100,75,844,1,1,1,1,1,20,16,4,3,-4,-4,-4,2,5,-4,4
184,2,-4,-4,-4,1,12,1984,1,1,-4,-4,377,1,1,1,2,1,16,14,4,3,-4,-4,-4,4,4,-4,2
185,3,-4,100,35,1,6,1981,1,1,100,50,562,4,4,4,1,1,12,12,1,-4,-4,-4,-4,-3,-3,5,2
186,2,-4,-4,-4,2,7,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-3,-3,4,-4,1,1,1,-3,-3,-4,2
187,1,-4,-4,-4,1,9,1983,1,1,-4,-4,360,1,1,1,4,1,14,12,2,3,-4,-4,-4,3,4,-4,4
188,2,-4,100,75,2,10,1980,0,1,100,100,240,2,4,4,1,1,12,12,4,3,-4,-4,-4,-4,-4,-4,4
189,1,-4,-4,-4,2,8,1984,-4,-4,-4,-4,-4,-4,-4,-4,1,1,-4,12,4,3,-4,-4,-4,4,4,4,2
190,2,-4,-4,-4,1,10,1983,1,1,-4,-4,-3,4,2,4,2,1,12,16,4,-4,-4,-4,-4,-4,-4,-4,1
191,3,-4,-4,-4,1,2,1982,0,1,-4,-4,637,-1,1,4,1,1,-4,-4,4,2,6,6,6,3,2,-4,2
192,2,-4,-4,-4,2,3,1982,0,0,-4,-4,24,4,2,2,2,1,16,15,2,-4,-4,-4,-4,-4,-4,-4,2
193,2,-4,100,60,2,2,1981,0,1,100,60,224,4,4,4,3,1,10,12,1,1,1,1,1,-3,-3,-4,2
194,2,-4,100,50,2,10,1980,0,1,100,50,270,4,8,8,2,1,-3,14,2,2,1,1,8,2,2,-4,2
195,2,-4,-4,-4,1,1,1983,1,1,-4,-4,371,4,4,4,1,1,-3,14,1,-4,-4,-4,-4,-4,-4,-3,2
196,1,-4,-4,-4,1,4,1984,1,1,-4,-4,-3,1,1,1,1,1,14,19,2,-4,-4,-4,-4,4,4,-4,2
197,2,-4,100,100,2,12,1981,0,1,100,100,-3,1,1,1,2,1,17,14,4,-4,-4,-4,-4,-4,-4,-4,5
