"PUBID","YSCH-37000","YHEA-1900","YEXP-1500","YEXP-2000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","PC8-092","PC9-050","PC11-008","PC11-014","CV_HH_POV_RATIO","CV_YTH_REL_HH_AGE_12","CV_YTH_REL_HH_AGE_2","CV_YTH_REL_HH_AGE_6","CV_HH_UNDER_18","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","KEY!RACE_ETHNICITY","TRANS_GPA","CVC_YTH_REL_HH_AGE2_YCHR","CVC_YTH_REL_HH_AGE6_YCHR","CVC_YTH_REL_HH_AGE12_YCHR","CVC_SAT_MATH_SCORE_2007","CVC_SAT_VERBAL_SCORE_2007","CVC_ACT_SCORE_2007","CVC_HIGHEST_DEGREE_EVER"
7848,2,-4,-4,-4,1,7,1984,0,4,-4,-4,167,1,1,1,4,0,12,12,1,-4,-4,-4,-4,-3,-3,-4,1
7849,1,-4,100,100,1,2,1981,0,1,100,75,259,4,4,2,1,0,12,14,1,2,-4,-4,-4,-4,-4,-4,2
7850,2,-4,-4,-4,1,5,1983,0,1,-4,-4,-3,4,4,4,4,0,-3,14,1,-4,-4,-4,-4,-4,-4,-4,1
7851,2,-4,100,100,2,4,1981,0,0,100,100,125,8,8,8,2,0,12,9,1,-4,1,1,4,-3,-3,5,2
7852,2,-4,-4,-4,2,5,1984,0,1,-4,-4,125,4,4,4,2,0,12,14,1,2,-4,-4,-4,-4,-4,-4,7
7853,1,-4,100,100,2,4,1981,-4,-4,-4,-4,-4,-4,-4,-4,3,0,19,16,2,4,1,1,1,-4,-4,-4,5
7854,1,-4,-4,-4,1,8,1982,-4,-4,-4,-4,-4,-4,-4,-4,3,0,19,16,2,2,1,1,1,-4,-4,-4,4
7855,2,-4,-4,-4,1,4,1983,0,1,-4,-4,314,1,1,1,2,0,12,12,2,-4,-4,-4,-4,-4,-4,-4,2
7856,1,-4,-4,-4,2,1,1983,0,1,-4,-4,233,2,2,2,2,0,20,15,2,4,-4,-4,-4,-4,-4,4,7
7857,3,-4,-4,-4,2,8,1982,1,1,-4,-4,250,4,4,4,1,0,12,13,1,3,-4,-4,-4,-4,-4,-4,3
7858,2,-4,-4,-4,2,8,1983,0,3,-4,-4,114,4,4,4,4,0,12,8,1,-4,-4,-4,-4,-4,-4,-4,2
7859,3,-4,-4,-4,1,12,1984,0,3,-4,-4,114,4,4,4,4,0,12,8,1,-4,-4,-4,-4,-4,-4,-4,0
7860,2,-4,-4,-4,1,11,1984,1,3,-4,-4,-3,4,4,8,3,0,12,14,1,-4,-4,-4,-4,-4,-4,-4,1
7861,2,-4,-4,-4,1,4,1984,1,1,-4,-4,225,4,4,2,3,0,12,14,1,-4,-4,-4,-4,-4,-4,-4,3
